Cat_1,Date_1,Quan_1,Quan_2,Quan_3,Quan_4,Date_2,Quan_5,Quan_6,Quan_7,Quan_8,Quan_9,Quan_10,Quan_11,Quan_12,Quan_13,Quan_14,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Cat_10,Cat_11,Cat_12,Cat_13,Cat_15,Cat_16,Quan_15,Cat_17,Cat_18,Cat_19,Cat_22,Cat_23,Cat_27,Cat_29,Cat_38,Cat_41,Cat_42,Cat_43,Cat_44,Cat_47,Cat_51,Cat_52,Cat_59,Cat_66,Cat_67,Cat_68,Cat_69,Cat_70,Cat_73,Cat_78,Cat_79,Cat_80,Cat_81,Cat_83,Cat_84,Cat_88,Cat_97,Cat_98,Cat_102,Quan_16,Quan_17,Quan_18,Cat_110,Cat_111,Cat_112,Cat_113,Cat_114,Cat_115,Cat_116,Cat_117,Cat_118,Cat_119,Cat_120,Cat_121,Cat_122,Cat_123,Cat_125,Cat_126,Cat_128,Cat_129,Cat_130,Cat_131,Cat_132,Cat_133,Cat_134,Cat_135,Cat_136,Cat_137,Cat_138,Cat_139,Cat_140,Cat_141,Cat_142,Cat_143,Cat_144,Cat_145,Cat_146,Cat_147,Cat_148,Cat_149,Cat_150,Cat_151,Cat_154,Cat_156,Cat_157,Cat_159,Cat_162,Cat_164,Cat_165,Cat_166,Cat_168,Cat_171,Cat_172,Cat_173,Cat_174,Cat_175,Cat_176,Cat_177,Cat_178,Cat_180,Cat_182,Cat_183,Cat_184,Cat_186,Cat_187,Cat_188,Cat_191,Cat_192,Cat_193,Cat_195,Cat_197,Cat_198,Cat_200,Cat_203,Cat_204,Cat_205,Cat_206,Cat_207,Cat_209,Cat_210,Cat_213,Cat_214,Cat_215,Cat_216,Cat_217,Cat_218,Cat_219,Cat_220,Cat_221,Cat_222,Cat_223,Cat_224,Cat_225,Cat_226,Cat_227,Cat_228,Cat_229,Cat_230,Cat_231,Cat_232,Cat_233,Cat_234,Cat_235,Cat_236,Cat_237,Cat_238,Cat_239,Cat_240,Cat_241,Cat_242,Cat_243,Cat_244,Cat_245,Cat_246,Cat_247,Cat_248,Cat_249,Cat_250,Cat_251,Cat_253,Cat_254,Cat_255,Cat_256,Cat_258,Cat_259,Cat_260,Cat_261,Cat_262,Cat_263,Cat_265,Cat_267,Cat_273,Cat_275,Cat_276,Cat_277,Cat_278,Cat_280,Cat_281,Cat_282,Cat_283,Cat_284,Cat_287,Cat_288,Cat_289,Cat_290,Cat_291,Cat_292,Cat_293,Cat_294,Cat_295,Cat_296,Cat_297,Cat_298,Cat_299,Cat_300,Cat_301,Cat_302,Cat_303,Cat_304,Cat_305,Cat_306,Cat_307,Cat_308,Cat_309,Cat_311,Cat_312,Cat_313,Cat_314,Cat_315,Cat_316,Cat_317,Cat_318,Cat_319,Cat_320,Cat_321,Cat_323,Cat_326,Cat_328,Cat_331,Cat_332,Cat_333,Cat_334,Cat_335,Cat_336,Cat_337,Cat_338,Cat_339,Cat_340,Cat_341,Cat_342,Cat_343,Cat_346,Cat_347,Cat_348,Cat_349,Cat_350,Cat_351,Cat_352,Cat_353,Cat_354,Cat_355,Cat_356,Cat_357,Cat_358,Cat_359,Cat_361,Cat_362,Cat_363,Cat_366,Cat_367,Cat_370,Cat_371,Cat_373,Cat_374,Cat_375,Cat_376,Cat_377,Cat_379,Cat_380,Cat_381,Quan_19,Cat_382,Cat_383,Cat_384,Quan_20,Cat_385,Cat_386,Cat_387,Cat_388,Cat_389,Cat_390,Cat_391,Quan_21,Cat_392,Cat_393,Cat_394,Cat_395,Cat_396,Quan_22,Cat_397,Cat_398,Cat_399,Cat_400,Cat_402,Cat_403,Cat_404,Cat_406,Cat_408,Cat_412,Cat_413,Cat_414,Cat_415,Cat_417,Cat_418,Cat_419,Cat_420,Cat_421,Cat_422,Cat_423,Cat_424,Cat_425,Cat_426,Cat_427,Cat_429,Cat_430,Cat_432,Cat_433,Cat_434,Cat_435,Cat_436,Cat_437,Cat_438,Cat_439,Cat_440,Cat_441,Cat_442,Cat_443,Cat_444,Cat_445,Cat_446,Cat_447,Cat_448,Cat_449,Cat_450,Cat_451,Cat_452,Cat_453,Cat_454,Cat_455,Cat_456,Cat_457,Quant_22,Cat_458,Quant_23,Cat_459,Quant_24,Cat_460,Quant_25,Cat_461,Cat_462,Cat_463,Cat_465,Cat_466,Cat_467,Cat_468,Cat_469,Cat_470,Cat_471,Cat_472,Cat_474,Cat_475,Cat_476,Cat_477,Cat_478,Cat_481,Cat_482,Cat_483,Cat_484,Cat_489,Cat_490,Cat_491,Cat_492,Cat_493,Cat_494,Cat_495,Cat_497,Cat_498,Cat_499,Cat_501,Cat_502,Quan_27,Quan_28,Cat_510,Cat_511,Cat_512,Cat_513
1,0.240532242,0.03768997,0.558823529,0.755102041,0.654101996,0.325504587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063829787,0.042296073,0.025955299,0.583333333,0.211764706,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.545774648,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.285714286,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.8,0,0,0.0,0.0,1,0,0,0,0,0,0,0.636363636,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.529411765,0.2,0.535714286,0.133333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0.133060389,0.0812953,0.808823529,0.319727891,0.050997783,0.317798165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05106383,0.033232628,0.020908435,0.25,0.117647059,0.0,0.0,0.0,0.25,1,0.0,0,0.0,0,0.728873239,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,1,0
1,0.727737973,0.33476736,0.441176471,0.455782313,0.0,0.371376147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493617021,0.549848943,0.447007931,0.25,0.117647059,0.090909091,0.0,0.0,0.0,0,0.0,0,0.0,0,0.267605634,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0.297850563,0.208346972,0.691176471,0.829931973,0.013303769,0.446605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234042553,0.256797583,0.193943764,0.25,0.117647059,0.0,0.0,0.0,0.0,1,0.0,0,0.052631579,0,0.471830986,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,0.0,0.5,0.5,0,0,0.0,1,0.75,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0.555783009,0.460018705,0.705882353,0.619047619,0.753880266,0.258715596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063829787,0.049848943,0.033165105,0.666666667,0.270588235,0.0,0.0,0.0,0.0,0,0.0,0,0.052631579,0,0.285211268,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,0.0,0.0,0.5,0,0,0.0,0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.818181818,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.087417219,0.555555556,0.714285714,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0.236949846,0.180921206,0.352941176,0.551020408,0.847006652,0.496513761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106382979,0.070996979,0.047584715,0.25,0.117647059,0.181818182,0.081632653,0.0,0.0,0,0.0,0,0.052631579,0,0.13028169,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.285714286,0.0,0.5,0,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.564705882,0.266666667,0.571428571,0.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
1,0.738485159,0.361561842,0.838235294,0.836734694,0.095343681,0.180550459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063829787,0.247734139,0.407354001,0.0,0.011764706,0.0,0.0,0.0,1.0,1,0.0,0,0.0,0,0.48943662,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.25,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,0.0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0.166666667,0.251655629,0.0,0.0,0.764705882,0.8,0.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,1,1,0,1,0,0,1,0,0,0,0.0625,0.0,1,0,0,0
1,0.437563971,0.145779752,0.529411765,0.666666667,0.984478936,0.621284404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187234043,0.327794562,0.255948089,0.25,0.117647059,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.021126761,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
0,0.806550665,0.735468787,0.661764706,0.56462585,0.037694013,0.858715596,0.246376812,0.034482759,0.026315789,0.246376812,0.246376812,0.266666667,0.038461538,0.05,0.266666667,0.266666667,0.204255319,0.629909366,0.267483778,0.666666667,0.270588235,0.0,0.0,0.0,0.25,0,0.0,0,0.157894737,0,0.633802817,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.5,0.087417219,0.555555556,0.714285714,0.4,0.6,0.404761905,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0
1,0.713408393,0.322656067,0.588235294,0.108843537,0.554323725,0.621284404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457703927,0.360490267,0.25,0.117647059,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.024647887,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
